,title,repro_index
1,Cholesterol-Induced Senescent Macrophages and Evaluation of Cellular Senescence Phenotypes.,
2,M6A demethylase ALKBH5 mediated Igfbp4 mRNA m6A modification drives fibroblast activation and pathological upper airway fibrosis.,
3,Ischemia-free liver transplantation alleviates liver transplant injury caused by CD69+CD103-CD8+T cells by regulating HIF-2α expression.,
4,Chromosome-level genome assembly of the sponge Halisarca dujardinii.,
5,Multivariate genetic analysis reveals three distinct pathological dimensions in musculoskeletal disorders.,
6,scSurvival: Single-Cell Survival Analysis of Clinical Cancer Cohort Data at Cellular Resolution.,
7,Multi-Omics Approaches to Cardiovascular Disease: Technological Innovations and Clinical Translation.,
8,Glo1 promotes glioma progression by modulating Sox2 transcriptional networks in glioma stem-like cells.,
9,Single-cell co-mapping reveals relationship between chromatin state and gene expression in early zebrafish development.,
10,Steady-state Purkinje cell activity has limited predictive power for cerebellar output in disease.,
11,AKAP12-LMOD1 signaling defines stromal CAF activation and epithelial junction loss in colorectal cancer.,
12,Unveiling DEFB1 as a novel driver and promising therapeutic target in lung adenocarcinoma.,
13,Identification of a new population of Tnn progenitors to form tendon enthesis fibrocartilage.,
14,Re-analysis of single-cell transcriptomics reveals a critical role of TNS1 gene in driving contractile VSMC transdifferentiation into macrophage-like SMC and atherosclerotic plaque instability.,
15,Suggested experimental design and computational modeling to infer single-cell lipid dynamics from a single destructive measurement.,
16,Boosting Sensory Nerve-to-Bone Interactions Enhances Hedgehog Mediated Calvarial Bone Repair.,
17,High ALG1 Expression Is Correlated With Poor Prognosis and the Immune Microenvironment in Glioma.,
18,Biomimetic nanodecoys remodel the mechano-immune microenvironment to potentiate checkpoint blockade in colorectal cancer.,
19,Physiological and anatomical determinants of placental drug transfer.,
20,PD-1/PD-L1 Signaling in Non-ICI Myocarditis.,
21,The B7 family subgroup reflects tumor cell heterogeneity and patient post-operative prognosis in gallbladder cancer.,
22,Macrophage polarization as a therapeutic target in lung diseases: From pathogenesis to precision intervention.,
23,Advances in the Genetics and Molecular Biology of Brain Arteriovenous Malformations.,
24,Derivation of functional early gestation decidual natural killer cell subtypes from induced pluripotent stem cells.,
25,Bioinformatics and Immunohistochemistry Reveal the Diagnostic and Mechanistic Role of the Cuproptosis-Related Genes SMOC2/THY1 in Liver Fibrosis.,
26,18-β-glycyrrhetinic acid facilitates nuclear-mitochondrial communications to alleviate oxidative stress through HMGB1-cGAS-Mul1 axis in tendinopathy.,
27,Roles of mitophagy and immune infiltration in Parkinson's disease: new perspectives from bioinformatics analysis and A53T transgenic mice.,
28,Single-cell and spatial dissection of IGF2BP3-driven endothelial reprogramming underlying microvascular invasion in hepatocellular carcinoma.,
29,Hydroxy-Safflower Yellow A Inhibits Breast Cancer Growth via Tumor-Associated Macrophages/CCL5/Tissue Resident Memory T Cell Signaling.,
30,In vivo exposure to CXCL12-high CAFs and chronic CXCL12 stimulation in vitro is sufficient to enhance metastasis of ER-positive breast cancer.,
31,Oncogenic and tumor-suppressive forces converge on a progenitor niche at the benign-to-malignant transition.,
32,Thy1 Periosteal Osteoprogenitors Contribute to Mandibular Bone Defect Healing in Mice.,
33,In situ and real-time monitoring of intracellular activities in single live cells using a nanopore probe.,
34,FABP7 controls radial glial scaffold stability during human cortical development.,
35,Interpretable multiple instance learning for hematologic diagnosis from peripheral blood smears.,
36,A multi-modal diffusion model with dual-cross-attention for multi-omics data generation and translation.,
37,Signaling cascades shape functional subpopulations of cortical astrocytes in male wild-type mice and APP/PS1dE9 Alzheimer's disease model.,
38,Cancer-Associated Fibroblasts Promote Tumor Immunosuppression in Hepatocellular Carcinoma via the NNMT-ANGPTL4 Axis.,
39,Design of Single-Atom Nanozymes for Precision Treatment of Erectile Dysfunction with Integrated Single-Cell RNA Sequencing and Machine Learning.,
40,"Neural signaling contributes to heart formation and growth in the invertebrate chordate, Ciona robusta.",
41,Integrative analysis and functional validation identified palmitoylated PHGDH as a therapeutic target for colon adenocarcinoma.,
42,BCRInsight: an antibody language model to decode biological signals from BCR sequences.,
43,GDSim: accurate simulation for single-cell transcriptomes based on the guided diffusion model.,
44,Integration of Bulk and Single-Cell RNA Sequencing Analyses in Biomedicine.,
45,AI-Driven BCR Modeling for Precision Immunology.,
46,Ochratoxin A and Clear Cell Renal Cell Carcinoma: Exploring Potential Molecular Links Through Network Toxicology and Machine Learning.,
47,Aged automobile cabin air filters as secondary pollution sources: mechanistic insights into NLRP3 inflammasome activation and discovery of a natural inhibitor.,
48,Cholangiocyte Biology in Primary Sclerosing Cholangitis and Other Cholangiopathies: .,
49,Geranium: Multimodal Retrieval of Genomics Data Visualizations.,
50,Integrated Genetic Networks and Epigenetic Regulation inTooth Development and Maturation.,
51,Glandular Cells of Forest Musk Deer Autonomously Synthesize Sex Steroid Hormones.,
52,"Integrated bulk RNA-seq and scRNA-seq identification of a novel ""PET--"" transcriptional axis in lung adenocarcinoma driven by polyethylene terephthalate exposure.",
53,Integrating Radiomics and Computational Pathology to Predict Early Recurrence of Pancreatic Ductal Adenocarcinoma and Uncover Its Biological Basis in Tumor Microenvironment.,
54,PEPITEM Regulates the Synovial Microenvironment During Immune-Mediated Inflammatory Arthritis to Limit Disease.,
55,Ligand-based directed differentiation to produce granulosa-like cells expressing steroidogenic enzyme genes.,
56,Super-enhancer-driven recruitment of C/EBPβ by SULT1B1 is implicated in metabolic dysfunction-associated steatotic liver disease progression.,
57,Hexokinase 3 promoted cytokine production of monocytes by targeting metabolic reprogramming and histone lactylation in sepsis.,
58,Letter to the Editor: Single-cell and multi-omics integrative modeling identifies mitochondrial gene HSPE1 as a therapeutic target in osteosarcoma.,
59,Comprehensive guide for optimizing octopus immune cell preparation to enhance single cell RNA sequencing success.,
60,EpCAM supports exit from pluripotency of embryonic stem cells via Eomes.,
61,Utilising Machine Learning and Single-Cell Analysis to Uncover SKCM Metastasis-Related Genes.,
62,Amoeboid-mesenchymal transition and the proteolytic control of cancer invasion plasticity.,
63,Combined single-cell transcriptome and Mendelian randomization to identify and validate prognostic genes associated with endoplasmic reticulum stress and butyrate metabolism in lung adenocarcinoma.,
64,Generative machine learning unlocks the first proteome-wide image of human cells.,
65,GREmLN: A Cellular Graph Structure Aware Transcriptomics Foundation Model.,
66,Transcriptome-based cell type assignment for kidney cell culture models.,
67,Chitin Derivative-Based Detachable Microneedles for Effective Treatment of Androgenic Alopecia.,
68,TarDis: Achieving robust and structured disentanglement of multiple covariates.,
69,Linking rare variants to cell-type function in profound autism with brain transcriptomics and foundation models.,
70,PD-L1 Senescent Macrophages Reshape the Immune Microenvironment of Periodontitis via PI3K/AKT Pathway Activation.,
71,Targeting ANXA1/TRKA axis enhances immunotherapy sensitivity in neural invasion-positive gastric cancer.,
72,Single-Cell and Spatial Omics: Methods and Applications.,
73,TriPDCL: A Tri-Pathway Prototype-Driven Contrastive Learning Framework for Cross-Modality Single-Cell Integration.,
74,Metabolomics across scales: from single cells to population studies.,
75,Fetal-restricted hematopoietic progenitors arise from hemogenic endothelium in vitelline and umbilical arteries.,
76,Multiomics and deep learning dissect regulatory syntax in human development.,
77,The deubiquitinase activity of CYLD is required for B cell differentiation.,
78,EZH2-Mediated Epigenetic Modifications Induce Pyroptosis in Dental Pulp Endothelial Cells via Activation of NLRP6 Inflammasome During Pulpitis Development.,
79,Integrative profiling of lactylation reveals prognostic biomarkers and an immunosuppressive niche in acute myeloid leukemia.,
80,BEASTsim-a benchmarking and analysis platform for spatial transcriptomics simulations.,
81,SIRT1 mediates KU70 to maintain genomic stability in spermatogonial stem cells via the NHEJ repair pathway.,
82,Prostaglandin E-driven dedifferentiation of Schwann cells leads to perineural invasion in pancreatic ductal adenocarcinoma.,
83,Androgen Receptor-Induced Lactoferrin Accelerates Prostate Tumorigenesis Through Modulating Ferroptosis.,
84,Activation of ERBB4 Pathway Inhibits Pathological Transdifferentiation of Lung Epithelial Progenitors into CD66c Basal Cells in Severe Lung Injury.,
85,Beyond Weight: Systems Biology and Precision Medicine Redefine Obesity as a Multidimensional Disease.,
86,HCCaging: a liver physiological aging-related biomarker for hepatocellular carcinoma diagnosis based on transcriptome data.,
87,Multi-omics analysis and experimental validation reveal the IRF7-CXCL10 axis as a master regulator of microglial PCD in ischemic stroke.,
88,Exploratory identification of lycorine as a potential inhibitor of the ACP2/YME1L1 prognostic axis in esophageal squamous cell carcinoma: a multi-omics and computational hypothesis.,
89,Eriodictyol Regulates Macrophage Polarization to Treat Rheumatoid Arthritis by Inhibiting Jumonji Domain-Containing Protein D3-Mediated Demethylation of Trimethylation of Lysine 27 on Histone H3: An Integrative Single Cell Sequencing and Experimental Validation Study.,
90,Estimating time since influenza virus exposure using single-cell proteomic data.,
91,"Multi-omics integration and machine learning reveal gut-immune signatures in idiopathic pulmonary fibrosis: insights from bulk RNA-seq, single-cell profiles, spatial transcriptomics, and experimental validation.",
92,Multiomics integration of single-cell transcriptomics and bulk sequencing data identifies key biomarkers and predictive models for IBD subtype classification.,
93,Integrative Multi-Omics and Single-Cell Analysis Reveal THOC3 and THOC7 as Oncogenic RNA Processing Regulators in Lung Adenocarcinoma.,
94,Advancements in Spermatogenesis In Vitro: From Murine Success to Human Applications.,
95,LILRB3 inhibition reverses immunosuppression in glioma: a nanoparticle-based therapeutic strategy.,
96,In vivo visualization of lipophagy dynamics using the tfLiveDrop reporter mice.,
97,Deciphering functional intra-tumoral heterogeneity in BRAF-driven mouse thyroid cancer reveals EMT trajectory and metabolic remodeling.,
98,Deciphering oxidative stress-related heterogeneity and developing a prognostic signature for colorectal cancer.,
99,scAgeClock: a single-cell transcriptome-based human aging clock model using gated multi-head attention neural networks.,
100,Scupa: Single-cell unified polarization assessment of immune cells using the single-cell foundation model,
101,Sparse Autoencoders Reveal Interpretable Cell-Type Programs in Single-Cell Foundation Model Representations,
102,A cross-species foundation model for single cells,
103,The Glioma Stem Cell Model in the Era of Single-Cell Genomics,
104,CELLama: Foundation Model for Single Cell and Spatial Transcriptomics by Cell Embedding Leveraging Language Model Abilities,
105,scPlantFormer: A Lightweight Foundation Model for Plant Single-Cell Omics Analysis,
106,Systematic evaluation of single-cell foundation model interpretability reveals attention captures co-expression rather than unique regulatory signal,
107,Deciphering single-cell epigenomic language with a foundation model,
108,SpaChat: Integrating Single-Cell Foundation Model with Cell Graph Network for Spatially Resolved Cell-Cell Communication Inference,
109,CancerFoundation: A single-cell RNA sequencing foundation model to decipher drug resistance in cancer,
110,ProtoCloud: a Prototypical Self-explaining Model for Single-cell Analysis,
111,WITHDRAWN: OKR-Cell: Open World Knowledge Aided Single-Cell Foundation Model with Robust Cross-Modal Cell-Language Pre-training,
112,Illuminating cell states by a comprehensive and interpretable single cell foundation model,
113,scGPT-spatial: Continual Pretraining of Single-Cell Foundation Model for Spatial Transcriptomics,
114,EpiFoundation: A Foundation Model for Single-Cell ATAC-seq via Peak-to-Gene Alignment,
115,A single-cell resolved cell-cell communication model explains lineage commitment in hematopoiesis,
116,RANKOR: A Machine Learning Model for Drug Repurposing on Individual-Level Single Cell Data,
117,scLinguist: A pre-trained hyena-based foundation model for cross-modality translation in single-cell multi-omics,
118,"Lemur: A Single-Cell Foundation Model with Fine-Tuning-Free Hierarchical Cell-Type Generation for
                  <i>Drosophila melanogaster</i>",
119,A quaternion model for single cell transcriptomics,
120,scGPT: Towards Building a Foundation Model for Single-Cell Multi-omics Using Generative AI,
121,mCAFoundation: A Single-Cell RNA Sequencing Foundation Model for Mouse Cell Types Annotations,
122,EpiAgent: Foundation model for single-cell epigenomic data,
123,Single-cell generalized trend model (scGTM): a flexible and interpretable model of gene expression trend along cell pseudotime,
124,Large Scale Foundation Model on Single-cell Transcriptomics,
125,CLM-access: A Specialized Foundation Model for High-dimensional Single-cell ATAC-seq analysis,
126,An Efficient Foundation Model for Single-Cell Mouse Data Annotation,
127,CellFeature: Cell and Feature Co-Embedding from Single-Cell Multi-Omics with Heterogeneous Graph Model,
128,A robust model for cell type-specific interindividual variation in single-cell RNA sequencing data,
129,Single-Cell and Transcriptome-Based Immune Cell-Related Prognostic Model in Clear Cell Renal Cell Carcinoma,
130,Integration of Temporal Single-Cell RNA Sequencing Data into Quantitative Systems Pharmacology Model of T Cell Differentiation,
131,PathOmCLIP: Connecting tumor histology with spatial gene expression via locally enhanced contrastive learning of Pathology and Single-cell foundation model,
132,SCARF: Single Cell ATAC-seq and RNA-seq Foundation model,
133,Benchmarking zero-shot single-cell foundation model embeddings for cellular dynamics reconstruction,
134,Anoikis-related genes combined with single cell sequencing: Insights into model specification of lung adenocarcinoma and applicability for prognosis and therapy,
135,CCIDeconv: Hierarchical model for deconvolution of subcellular cell-cell interactions in single-cell data,
136,Single-cell Pairwise Relationships Untangled by Composite Embedding model,
137,Reviewer #2 (Public Review): Defining cell type-specific immune responses in a mouse model of allergic contact dermatitis by single-cell transcriptomics,
138,Imputation method for single-cell RNA-seq data using neural topic model,
139,DelSIEVE: cell phylogeny model of single nucleotide variants and deletions from single-cell DNA sequencing data,
140,"AI-Driven Chemometrics for Multi-omics Data Integration: Advances, Challenges, and Future Directions.",
141,Deeptosis: A Deep Learning-Based Platform for Label-Free Discrimination of Apoptosis and Pyroptosis from Brightfield Microscopy.,
142,Decoupling Detection and Classification to Improve Morphological Phenotype Analysis of Sickle Red Blood Cells in Full-Scope Microscopy.,
143,pertTF: context-aware AI modeling for genome-scale and cross-system perturbation prediction.,
144,From modality-specific to compositional foundation models for cell biology.,
145,Clinical-grade autonomous cytopathology through whole-slide edge tomography.,
146,Advances and challenges in single-cell RNA sequencing data analysis: a comprehensive review.,
147,Deciphering RNA and protein expression discordance identifies TOP2A as a prognostic biomarker and potential therapeutic target in lung adenocarcinoma.,
148,LazyNet: Interpretable ODE Modeling of Sparse CRISPR Single-Cell Screens Reveals New Biological Insights.,
149,Pattern Learning and Knowledge Distillation for Single-Cell Data Annotation.,
150,Representation learning of single-cell RNA-seq data.,
151,A self-supervised machine learning pipeline for extracting information from live cell images at multiple doses and timepoints.,
152,A novel expert-annotated single-cell dataset for thyroid cancer diagnosis with deep learning benchmarks.,
153,AI-driven multi-omics integration in precision oncology: bridging the data deluge to clinical decisions.,
154,A survey on large language models in biology and chemistry.,
155,Nicheformer: a foundation model for single-cell and spatial omics.,
156,"Artificial intelligence, machine learning and omic data integration in osteoarthritis.",
157,Artificial Intelligence and Multimodality Data Integration Decipher Tertiary Lymphoid Structure Maturity in Gastric Cancer.,
